"aspect","rating","raw_text","cleaned_text"
"teaching",1,"very good.","good"
"teaching",1,"it is ok","ok"
"teaching",-1,"some teachers aren't doing their jobs in very well manner","teachers arent jobs well manner"
"teaching",1,"Some of the teachers are not well experienced but they are interactive and helpful and punctual.","teachers well experienced interactive helpful punctual"
"teaching",0,"not all the teachers are teaching well but it's fine","teachers teaching well fine"
"teaching",1,"EXCELLENT","excellent"
"teaching",1,"The faculty is good ,interaction between student and teacher is also good","faculty good interaction student teacher also good"
"teaching",-1,"not good","good"
"teaching",1,"Good","good"
"teaching",1,"Good","good"
"teaching",-1,"some of our faculty member are not so experienced that's why most of the time we are facing problems subjects like CSE(c++)","faculty member experienced thats time facing problems subjects like csec"
"teaching",1,"good","good"
"teaching",1,"its to good","good"
"teaching",1,"everything is good","everything good"
"teaching",-1,"everything is good but when coming to some lectures who dont have a good grip on subject,they dont behave well with students and they dont even teach all the concepts in the subject.","everything good coming lectures dont good grip subjectthey dont behave well students dont even teach concepts subject"
"teaching",1,"excellent","excellent"
"teaching",0,"everything was good regarding to university but, some lecturers don't have grip on the subject and lag in the teaching","everything good regarding university lecturers dont grip subject lag teaching"
"teaching",0,"normal","normal"
"teaching",1,"good","good"
"teaching",1,"good","good"
"teaching",1,"teaching activities of our university is good. i am satisfied with it.","teaching activities university good satisfied"
"teaching",1,"GOOD","good"
"teaching",1,"everything is good for faculty","everything good faculty"
"teaching",1,"satisfactory","satisfactory"
"teaching",1,"GOOD","good"
"teaching",1,"all are good","good"
"teaching",0,"good but not good . sir improve the subject","good good sir improve subject"
"teaching",0,"The university is good but it also has a long way to go. More teachers should have their PhD and college fests related to academic curriculum must be improved to a great extent and must be managed properly.The interaction is good, lecture delivery needs more lucidity. The punctuality is top notch.","university good also long way go teachers phd college fests related academic curriculum must improved great extent must managed properlythe interaction good lecture delivery needs lucidity punctuality top notch"
"teaching",1,"our university is good in punctuality,lecture delivery but it is not good in terms of interaction","university good punctualitylecture delivery good terms interaction"
"teaching",0,"average","average"
"teaching",-1,"interaction is very less ,when it comes to lecture delivery its fine but the co cordination not there between the lectueres","interaction less comes lecture delivery fine co cordination lectueres"
"teaching",1,"good","good"
"teaching",1,"All lectures are giving their best to teach the students","lectures giving best teach students"
"teaching",-1,"our university is very good but in terms of interaction of teachers wd students is not at all fair because they interact wd only students understands his/her teaching they don't make remaining students to understand the topic","university good terms interaction teachers wd students fair interact wd students understands hisher teaching dont make remaining students understand topic"
"teaching",1,"The university consists of a whole world in itself.It is diverse and manages to conduct all events properly.I love being the part of this university where we get equal and all opportunities in all respects and fields.","university consists whole world itselfit diverse manages conduct events properlyi love part university get equal opportunities respects fields"
"teaching",1,"teachers are pretty interactive,But it all depends on the student to gain as much as knowledge he can from the teacher.Teachers are punctual and very helpful during exams time.","teachers pretty interactivebut depends student gain much knowledge teacherteachers punctual helpful exams time"
"teaching",0,"teaching delivery is good .but it is better to reduce there speed of  lecture delivery to understand the student better","teaching delivery good better reduce speed lecture delivery understand student better"
"teaching",1,"overall rating on this activity is 4.5/5 .very nice teaching and interaction between students and lectures was good, every time there will be new and fresh style in  delivering the lectures ,thanks.","overall rating activity 455 nice teaching interaction students lectures good every time new fresh style delivering lectures thanks"
"teaching",0,"excellent, but reduse the speed of teaching  ,up to understand the students","excellent reduse speed teaching understand students"
"teaching",0,"teaching is ok but the interaction with the students need to improve, i mean they have to focus on dull students more  than intelligents....","teaching ok interaction students need improve mean focus dull students intelligents"
"teaching",1,"Interaction is good but it should b more ...rest is too perfect","interaction good b rest perfect"
"teaching",1,"teachers are good in subject,and punctuality","teachers good subjectand punctuality"
"teaching",0,"Everything would be fine if there are less number of students in our btech CSE.","everything would fine less number students btech cse"
"teaching",1,"good","good"
"teaching",0,"faculties are doing quite well but need more senior lecturers.","faculties quite well need senior lecturers"
"teaching",1,"satisfied","satisfied"
"teaching",1,"examination department is not good, teaching is quite good, I cant get extra time for extra knowledge, interaction is good","examination department good teaching quite good cant get extra time extra knowledge interaction good"
"teaching",1,"Well and Good","well good"
"teaching",1,"Good","good"
"teaching",1,"good","good"
"teaching",0,"university management is extordinary but some of the faculty is very bad","university management extordinary faculty bad"
"teaching",1,"good","good"
"teaching",1,"good","good"
"teaching",1,"good","good"
"teaching",0,"some lectures are excellent,but not everyone","lectures excellentbut everyone"
"teaching",1,"It is very good learning in this university","good learning university"
"teaching",0,"its  booring","booring"
"teaching",1,"good","good"
"teaching",1,"Good","good"
"teaching",0,"teaching is good but some lecturers are showing partiality between south people and north people","teaching good lecturers showing partiality south people north people"
"teaching",1,"excellent","excellent"
"teaching",0,"teaching is good but some teachers are not able to interact properly and are not able to clear the concepts properly, teachers are punctual.","teaching good teachers able interact properly able clear concepts properly teachers punctual"
"teaching",1,"good","good"
"teaching",1,"Everything is very good. Interaction part is something like teachers mostly interact with each and every student, lecture delivery is very good and punctuality always maintains.","everything good interaction part something like teachers mostly interact every student lecture delivery good punctuality always maintains"
"teaching",1,"good","good"
"teaching",1,"I am very much satisfied with teaching faculty interms of iteraction,lecture delivery, punctuality etc","much satisfied teaching faculty interms iteractionlecture delivery punctuality etc"
"teaching",-1,"they are showing partiality between north indians and south indians","showing partiality north indians south indians"
"teaching",1,"good","good"
"teaching",1,"Interaction is satisfying, Lecture delivery is Good, Punctuality is Excellent","interaction satisfying lecture delivery good punctuality excellent"
"teaching",-1,"staff is showing partiality between north indians and south indians","staff showing partiality north indians south indians"
"teaching",1,"excellent university  the mode of teaching is completely different than any other university in india. lecturers are very friendly with every one they interact just like friends and they are very punctual","excellent university mode teaching completely different university india lecturers friendly every one interact like friends punctual"
"teaching",0,"lecture delivery and punctuality was good but the interaction with students was not good.","lecture delivery punctuality good interaction students good"
"teaching",0,"punctuality and lecture is good here but interaction isn't good.","punctuality lecture good interaction isnt good"
"teaching",1,"good enough","good enough"
"teaching",1,"In this university there is good interaction with the students, Teachers in this university can deliver the lectures effectively, There is good punctuality in this university","university good interaction students teachers university deliver lectures effectively good punctuality university"
"teaching",1,"Very good indeed.","good indeed"
"teaching",1,"Teaching is excellent,but lecture delivery is not up to the mark.Punctuality is good","teaching excellentbut lecture delivery markpunctuality good"
"teaching",0,"interaction of some faculty was good but not all faculty..","interaction faculty good faculty"
"teaching",1,"good, and also like the teaching style","good also like teaching style"
"teaching",1,"Interaction between students and teachers is good ,The lectures delivery is fine, punctuality is good","interaction students teachers good lectures delivery fine punctuality good"
"teaching",1,"not bad","bad"
"teaching",1,"Its Quite Good","quite good"
"teaching",1,"very good indeed","good indeed"
"teaching",1,"not bad..","bad"
"teaching",0,"teaching is good some lecturers are showing partiality between south people and north people","teaching good lecturers showing partiality south people north people"
"teaching",0,"I WAS A STUDENT OF A BOARDING SCHOOL .....(jnv) I STUDIED FOR 7  YEARS THERE RESIDING IN HOSTEL ..NOW LIVING IN LPU IS SAME LIKE THAT..AND STILL MORE SAME AND PUNCTUALITY IS SHOWN HERE BY BOTH TEACHERS AND STUDENTS...AND ALSO BY THE STAFF..          SECURITY IS ABOVE 90%(IN CASE OF  STUDENT IS WELL MANURED)  ....CLASSES REGULAR ....SPORTS DAILY.....PARTICIPATION WELL/.......QUALITY BELOW AVERAGE","student boarding school jnv studied 7 years residing hostel living lpu like thatand still punctuality shown teachers studentsand also staff security 90in case student well manured classes regular sports dailyparticipation wellquality average"
"teaching",1,"All terms are good regarding the university activities","terms good regarding university activities"
"teaching",1,"GOOD","good"
"teaching",1,"intraction is good and leacture delivery also good and then punctuality is also is good","intraction good leacture delivery also good punctuality also good"
"teaching",1,"all the given terms are good regarding the university","given terms good regarding university"
"teaching",1,"All the terms are good regarding the university activities.","terms good regarding university activities"
"teaching",-1,"Some of the teacher are un experienced. Also they are unfair and baised. Infact many of the teachers are having few or no experience about the subject","teacher un experienced also unfair baised infact many teachers experience subject"
"teaching",1,"IT IS GOING GOOD","going good"
"coursecontent",0,"content of courses are average","content courses average"
"coursecontent",-1,"Not good","good"
"coursecontent",1,"All courses material provide very good knowledge in depth .","courses material provide good knowledge depth"
"coursecontent",-1,"Content of course is perfectly in line with the teaching philosophy that is being perpetuated here i.e cramming,rote learning.","content course perfectly line teaching philosophy perpetuated ie crammingrote learning"
"coursecontent",1,"content of courses improves my knowledge","content courses improves knowledge"
"coursecontent",1,"Yes","yes"
"coursecontent",1,"Good","good"
"coursecontent",1,"This semester university has provide best teachers","semester university provide best teachers"
"coursecontent",-1,"Needs some improvement","needs improvement"
"coursecontent",-1,"Needs some improvement","needs improvement"
"coursecontent",0,"Knowledge  and depth of the course  is good but while coming to the material it's not upto the mark.","knowledge depth course good coming material upto mark"
"coursecontent",0,"Knowledge,depth of course is good but course material are not upto the mark","knowledgedepth course good course material upto mark"
"coursecontent",1,"course content is knowledgeable","course content knowledgeable"
"coursecontent",-1,"Content of the courses is good but some courses need improvement. Course material is not upto the mark.","content courses good courses need improvement course material upto mark"
"coursecontent",1,"Good","good"
"coursecontent",1,"Very good","good"
"coursecontent",-1,"Material of the course is not good enough","material course good enough"
"coursecontent",-1,"sometimes proper course material is not required.","sometimes proper course material required"
"coursecontent",1,"Easily available course material with sufficient knowledge gaining","easily available course material sufficient knowledge gaining"
"coursecontent",1,"The materials or links provided for study purpose is good, clarity in depth of courses but again it differs from teacher to teacher.","materials links provided study purpose good clarity depth courses differs teacher teacher"
"coursecontent",1,"The course notes are very knowledgeable and proper.","course notes knowledgeable proper"
"coursecontent",1,"Good","good"
"coursecontent",1,"Good","good"
"coursecontent",1,"content of the courses are update and mostly based on current technology.","content courses update mostly based current technology"
"coursecontent",-1,"Needs some improvement","needs improvement"
"coursecontent",1,"Good","good"
"coursecontent",-1,"Teachers are not giving depth of course . They trying to cover there work only .","teachers giving depth course trying cover work"
"coursecontent",1,"Good","good"
"coursecontent",1,"good","good"
"coursecontent",1,"every thing is fine","every thing fine"
"coursecontent",1,"It's appreciable","appreciable"
"coursecontent",1,"Satisfied","satisfied"
"coursecontent",-1,"The books that are recommended do not contain appropriate content; leads the students to depend on slides given by teachers. Hence the knowledge remains superficial","books recommended contain appropriate content leads students depend slides given teachers hence knowledge remains superficial"
"coursecontent",1,"Awesome","awesome"
"coursecontent",1,"It is proper","proper"
"coursecontent",1,"Courses are very good and useful","courses good useful"
"coursecontent",1,"Its good","good"
"coursecontent",1,"Everything is fine. Every thing is taught in depth.Even a single point is elaborated enough to understand.","everything fine every thing taught deptheven single point elaborated enough understand"
"coursecontent",1,"Courses are very good and useful","courses good useful"
"coursecontent",1,"content is good enough","content good enough"
"coursecontent",1,"Good","good"
"coursecontent",1,"Good","good"
"coursecontent",1,"Accurate","accurate"
"coursecontent",1,"Accurate","accurate"
"coursecontent",1,"Perfect","perfect"
"coursecontent",1,"the material provided is beneficial and provides much knowledge","material provided beneficial provides much knowledge"
"coursecontent",1,"fully knowledgeable","fully knowledgeable"
"coursecontent",1,"good","good"
"coursecontent",1,"good","good"
"coursecontent",1,"well planned","well planned"
"coursecontent",1,"good","good"
"coursecontent",1,"good","good"
"coursecontent",1,"ok","ok"
"coursecontent",1,"good","good"
"coursecontent",0,"average","average"
"coursecontent",1,"content is very knowledgable and gives us huge knowledge of every subject","content knowledgable gives us huge knowledge every subject"
"coursecontent",1,"content is enough, we donot need more.","content enough donot need"
"coursecontent",0,"good quallity content but some teachers donot upload ppts on time","good quallity content teachers donot upload ppts time"
"coursecontent",1,"course content is good","course content good"
"coursecontent",1,"the content of the course is knowledgeable","content course knowledgeable"
"coursecontent",0,"subjects are appropriate but much depth is required as syllabus includes only basics not the details","subjects appropriate much depth required syllabus includes basics details"
"coursecontent",1,"good","good"
"coursecontent",-1,"some courses are irrelevant as they are not related to my stream.","courses irrelevant related stream"
"coursecontent",-1,"there are many courses which are irrelevant to the branch. some topics are not covered. There is no proper material for any course","many courses irrelevant branch topics covered proper material course"
"coursecontent",1,"not too bad","bad"
"coursecontent",1,"not too bad","bad"
"coursecontent",1,"course material is perfect","course material perfect"
"coursecontent",1,"not bad","bad"
"coursecontent",1,"good","good"
"coursecontent",1,"IP is provided to the students which is very helpful for the students.","ip provided students helpful students"
"coursecontent",0,"depth of course is less on the other hand knowledge and material is good","depth course less hand knowledge material good"
"coursecontent",1,"Good","good"
"coursecontent",-1,"content does not provide deep knowledge","content provide deep knowledge"
"coursecontent",0,"average","average"
"coursecontent",-1,"sometime it is irrelevent with the ongoing courses.","sometime irrelevent ongoing courses"
"coursecontent",0,"average(in one term there should be only two major subjects based on numerical)","averagein one term two major subjects based numerical"
"coursecontent",0,"some of them are very helpful and knowledgeable and some are just formality","helpful knowledgeable formality"
"coursecontent",0,"very knowledgeable, some subjects do not have dedicated material like books available","knowledgeable subjects dedicated material like books available"
"coursecontent",1,"optimum content","optimum content"
"coursecontent",1,"good","good"
"coursecontent",1,"very good","good"
"coursecontent",1,"good","good"
"coursecontent",1,"very good","good"
"coursecontent",-1,"it is not appropriate","appropriate"
"coursecontent",1,"Satisfied knowedgeable and proper course material","satisfied knowedgeable proper course material"
"coursecontent",1,"Good, but there should be at least one a practical subject in every semester","good least one practical subject every semester"
"coursecontent",1,"Yes","yes"
"coursecontent",1,"good","good"
"coursecontent",1,"Good","good"
"coursecontent",1,"good","good"
"coursecontent",1,"Good","good"
"coursecontent",1,"Good","good"
"coursecontent",1,"good.","good"
"coursecontent",-1,"it is not very deep","deep"
"coursecontent",1,"course contents are very much relevant to our courses","course contents much relevant courses"
"coursecontent",0,"The course structure is good and follows todays technology. Some subjects portion are too vast and are difficult to cover in 1 sem","course structure good follows todays technology subjects portion vast difficult cover 1 sem"
"coursecontent",1,"good","good"
"coursecontent",1,"GOOD","good"
"coursecontent",1,"content of the course is good","content course good"
"coursecontent",-1,"syllabus is not in debth","syllabus debth"
"coursecontent",1,"Excellent","excellent"
"coursecontent",1,"Very good","good"
"coursecontent",1,"as per the courses all the sub are providing  worth knowledge","per courses sub providing worth knowledge"
"coursecontent",1,"very good","good"
"coursecontent",0,"i dont know","dont know"
"coursecontent",1,"regarding the courses everything is good","regarding courses everything good"
"coursecontent",1,"coming to the courses these are very well planned... and it all depends on the lectures.","coming courses well planned depends lectures"
"coursecontent",1,"good","good"
"coursecontent",1,"good","good"
"coursecontent",1,"good","good"
"coursecontent",1,"good","good"
"coursecontent",1,"upto the mark","upto mark"
"coursecontent",1,"It is so good.","good"
"coursecontent",1,"GOOD","good"
"coursecontent",1,"excellent","excellent"
"coursecontent",0,"content of course is ample but depth must be more","content course ample depth must"
"coursecontent",0,"COURSE IS GOOD NO PROPER COURSE MATERIAL","course good proper course material"
"coursecontent",1,"excellent","excellent"
"coursecontent",1,"good","good"
"coursecontent",-1,"Content of the courses should be changed a bit. More of industry oriented feature like Linux and GitHub must be implemented. Proper detailing and advanced knowledge is required and is to be instilled in the students.The course material is good.","content courses changed bit industry oriented feature like linux github must implemented proper detailing advanced knowledge required instilled studentsthe course material good"
"coursecontent",1,"good it was knowledgeable,depth of the course is good,there is but proper course materials in only for some  subjects","good knowledgeabledepth course goodthere proper course materials subjects"
"coursecontent",0,"average","average"
"coursecontent",1,"good","good"
"coursecontent",1,"good","good"
"coursecontent",1,"Excellent","excellent"
"coursecontent",1,"very good and you can also increase the standard of Courses","good also increase standard courses"
"coursecontent",1,"The courses available in the university have got a scope and the teaching of these courses goes on with the point of view of bringing out the best from the student by indulging them in different activities and projects.","courses available university got scope teaching courses goes point view bringing best student indulging different activities projects"
"coursecontent",1,"content of course is more than enough to get the basics of that particular subject.","content course enough get basics particular subject"
"coursecontent",0,"courses are also good .but lt of subjects in cse departments at 1st year it feels like burden upon us","courses also good lt subjects cse departments 1st year feels like burden upon us"
"coursecontent",1,"my rating in this is 4/5","rating 45"
"coursecontent",0,"good,they work very hard for us","goodthey work hard us"
"coursecontent",1,"good","good"
"coursecontent",-1,"syllabus is more which required time ..it should b less so that student can proper concentrate getting the knowlegde instead of just covering the syllabusgood","syllabus required time b less student proper concentrate getting knowlegde instead covering syllabusgood"
"coursecontent",1,"good","good"
"coursecontent",-1,"when compared to other universities we need better material and exposure.","compared universities need better material exposure"
"coursecontent",1,"good","good"
"coursecontent",-1,"the content of the course should be increased with the depth.","content course increased depth"
"coursecontent",1,"content provided by you is excellent so that we learnt more and more about that particular subject","content provided excellent learnt particular subject"
"coursecontent",1,"content of course is appropriate","content course appropriate"
"coursecontent",-1,"The content of course should be increase with depth","content course increase depth"
"coursecontent",1,"Good","good"
"coursecontent",1,"good","good"
"coursecontent",-1,"In my opnion very less content is their in our syllabus..it will be good if there is more syllabus and depth included in our syllabus","opnion less content syllabusit good syllabus depth included syllabus"
"coursecontent",-1,"some of the faculty are not uploading ppts","faculty uploading ppts"
"coursecontent",1,"ok","ok"
"coursecontent",1,"good","good"
"coursecontent",1,"excellent","excellent"
"coursecontent",1,"it is good learning these courses","good learning courses"
"coursecontent",-1,"its very tough and very diffcult to understand","tough diffcult understand"
"coursecontent",1,"Nice","nice"
"coursecontent",0,"yeah! well some of the faculty are not teaching well but the schedule of the university are superb ... and university asked feedback from us .that is really helpful","yeah well faculty teaching well schedule university superb university asked feedback us really helpful"
"coursecontent",1,"good","good"
"coursecontent",0,"The content of the courses are good but depth of courses are not enough to get the good concepts.","content courses good depth courses enough get good concepts"
"coursecontent",1,"content is sufficient for us","content sufficient us"
"coursecontent",1,"excellent","excellent"
"coursecontent",0,"Content of courses are good, these are very knowledgeable, depth of course is also there but sometimes proper course material is not there.","content courses good knowledgeable depth course also sometimes proper course material"
"coursecontent",1,"good","good"
"coursecontent",1,"I like communication classes,courses are good","like communication classescourses good"
"coursecontent",1,"they are giving good knowledge for us","giving good knowledge us"
"coursecontent",1,"Excellent","excellent"
"coursecontent",1,"Knowledgeable is Good, Depth of course is satisfying, proper course material is also good","knowledgeable good depth course satisfying proper course material also good"
"coursecontent",1,"its good","good"
"coursecontent",1,"every thing is good subjects have a very good depth almost all the  books are available   in the library and more than that 4/5","every thing good subjects good depth almost books available library 45"
"coursecontent",1,"good","good"
"coursecontent",1,"Its nice .","nice"
"coursecontent",-1,"not good","good"
"coursecontent",1,"The material provided in this university is depth of course, The courses in this university is knowledgeable","material provided university depth course courses university knowledgeable"
"coursecontent",1,"The depth of course is very much  deep. According to me its very essential","depth course much deep according essential"
"coursecontent",0,"Some subjects are good and predictable.Remaining courses are not satisfactory","subjects good predictableremaining courses satisfactory"
"coursecontent",0,"depth  of course was good ....providing a basic knowledge not so deep in subjects....at least they should provide deep knowledge and syllabus in core subjects...","depth course good providing basic knowledge deep subjectsat least provide deep knowledge syllabus core subjects"
"coursecontent",1,"I like this very much because every subject is linked up with real life situations and every thing in the subject is use full","like much every subject linked real life situations every thing subject use full"
"coursecontent",0,"depth of the course are depended on the level of student intake, course material is delivered after the class in UMS","depth course depended level student intake course material delivered class ums"
"coursecontent",1,"good","good"
"coursecontent",1,"Pretty Good","pretty good"
"coursecontent",1,"Is good","good"
"coursecontent",-1,"not good enough.. we want something more.","good enough want something"
"coursecontent",1,"good","good"
"coursecontent",-1,"LESS TIME FOR STUDY ...LESS TIME FOR PAPER ATTEMTING...LESS TIME FOR EVERY THING ....LESS KNOWLEGE.....LESS DEPTH OF COURSE .....BUT PROPER COURSE MATERIAL ACCORDING TO EXAM","less time study less time paper attemtingless time every thing less knowlegeless depth course proper course material according exam"
"coursecontent",0,"knowledge is maximum gained by reading books also the teachers explain depth if we are interested to know about it.","knowledge maximum gained reading books also teachers explain depth interested know"
"coursecontent",-1,"HAVE TO IMPROVE","improve"
"coursecontent",0,"every one can tell depth of course but some one only give notes","every one tell depth course one give notes"
"coursecontent",1,"we are getting maximum knowledge","getting maximum knowledge"
"coursecontent",1,"Knowledge is maximum gained  by reading books and also teachers explain the concept in depth.","knowledge maximum gained reading books also teachers explain concept depth"
"coursecontent",0,"Its fine but it should focus more towards practical knowledge rather than content based. It would be helpful for us.","fine focus towards practical knowledge rather content based would helpful us"
"coursecontent",-1,"HAVE TO IMPROVE","improve"
"examination",1,"examination pattern is good","examination pattern good"
"examination",1,"Good","good"
"examination",1,"Exam pattern is up to the mark and the Cgpa depends on the various marks distributions like ca, mte etc which is very nice as compare to other institutions. Paper checking does not depend on length of ques but on the material which is the best part of it.","exam pattern mark cgpa depends various marks distributions like ca mte etc nice compare institutions paper checking depend length ques material best part"
"examination",-1,"Again the university tests students of their ability to memorize stuff. Questions should emphasize more on concepts rather than testing brain's cramming storage house.","university tests students ability memorize stuff questions emphasize concepts rather testing brains cramming storage house"
"examination",1,"examination pattern is good","examination pattern good"
"examination",1,"Yes","yes"
"examination",1,"Good","good"
"examination",1,"I like the question pattern","like question pattern"
"examination",1,"Good","good"
"examination",1,"Good","good"
"examination",1,"This university is far better than other university when coming to the exam pattern,marks disturbation and while coming to paper checking no biased corrections equal to all.","university far better university coming exam patternmarks disturbation coming paper checking biased corrections equal"
"examination",1,"Great","great"
"examination",1,"exam pattern is good and good paper checking.","exam pattern good good paper checking"
"examination",0,"Pattern and procedure of the examination is very good. Paper checking needed to be improved.","pattern procedure examination good paper checking needed improved"
"examination",1,"Good","good"
"examination",1,"Excellent","excellent"
"examination",1,"Good","good"
"examination",1,"Good","good"
"examination",1,"Good marks distribution Students can easily check there performance throught the semester","good marks distribution students easily check performance throught semester"
"examination",0,"Exam pattern and how it is conducted is really seems to be good but it's my first year and when I went to scrutiny for the first time it was not as per my expectations. Teachers have marked the answers as per their choice, they must look for the content rather than the length of answers. So poor paper checking is there.","exam pattern conducted really seems good first year went scrutiny first time per expectations teachers marked answers per choice must look content rather length answers poor paper checking"
"examination",1,"Descent.","descent"
"examination",1,"Excellect","excellect"
"examination",1,"Excellect","excellect"
"examination",1,"exam pattern and marks distribution is very well procedure","exam pattern marks distribution well procedure"
"examination",1,"Good","good"
"examination",0,"Average","average"
"examination",1,"It is statisfactory.","statisfactory"
"examination",1,"Good","good"
